UNITID,NAME,ALIAS,CITY,STATE,REGION,URL,CONTROL,NUM_UGDS,ADM_RATE,SAT_AVG,COSTT4_A,PRICE_RANGE,EARNINGS_MDN,DEBT_MDN,COMPL_RATE,CIP04BACHL,CIP09BACHL,CIP11BACHL,CIP13BACHL,CIP14BACHL,CIP16BACHL,CIP22BACHL,CIP23BACHL,CIP26BACHL,CIP27BACHL,CIP38BACHL,CIP40BACHL,CIP42BACHL,CIP45BACHL,CIP50BACHL,CIP51BACHL,CIP52BACHL,CIP54BACHL,SUM
104717,Grand Canyon University,GCU,Phoenix,Arizona,Southwest,www.gcu.edu/,private,64200,82.8%,NULL,31400,affordable,71000,12000,44.7%,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,20
110422,California Polytechnic State University-San Luis Obispo,Cal Poly,San Luis Obispo,California,Far West,calpoly.edu/,public,21100,33.0%,NULL,28800,affordable,77000,15000,85.4%,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,26
110635,University of California-Berkeley,UC Berkeley,Berkeley,California,Far West,www.berkeley.edu/,public,31800,14.4%,NULL,37500,affordable,82000,12000,92.8%,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
122436,University of San Diego,USD,San Diego,California,Far West,www.sandiego.edu/,private,5600,52.7%,NULL,68000,pricey,71000,19000,80.0%,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,18
122612,University of San Francisco,NULL,San Francisco,California,Far West,https://www.usfca.edu/,private,5900,70.9%,1305,72300,expensive,75000,19000,75.6%,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,22
122931,Santa Clara University,SCU,Santa Clara,California,Far West,www.scu.edu/,private,5900,54.0%,1418,72300,expensive,89000,17000,90.9%,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,20
123961,University of Southern California,USC,Los Angeles,California,Far West,www.usc.edu/,private,20600,12.5%,1484,67000,pricey,77000,16000,92.0%,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,24
129242,Fairfield University,NULL,Fairfield,Connecticut,New England,fairfield.edu/,private,4500,55.8%,1315,69000,pricey,77000,23000,83.9%,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,21
130794,Yale University,NULL,New Haven,Connecticut,New England,https://www.yale.edu/,private,6500,5.3%,1526,79300,very expensive,85000,12000,96.9%,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,17
131469,George Washington University,GWU|GW,Washington,"Washington, DC",Mid East,https://www.gwu.edu/,private,10900,49.7%,1419,62800,pricey,78000,20000,83.7%,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,21
131496,Georgetown University,Georgetown|GU,Washington,"Washington, DC",Mid East,www.georgetown.edu/,private,7400,12.0%,1488,59800,pricey,88000,14000,95.2%,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,16
139658,Emory University,NULL,Atlanta,Georgia,Southeast,www.emory.edu/,private,7000,15.6%,1480,72900,expensive,72000,17000,90.0%,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,21
139755,Georgia Institute of Technology-Main Campus,Georgia Tech,Atlanta,Georgia,Southeast,www.gatech.edu/,public,16600,16.0%,1423,29400,affordable,92000,20000,91.9%,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,16
144050,University of Chicago,NULL,Chicago,Illinois,Great Lakes,www.uchicago.edu/,private,7600,6.5%,1535,81500,very expensive,91000,13000,95.9%,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,19
147767,Northwestern University,NULL,Evanston,Illinois,Great Lakes,www.northwestern.edu/,private,8700,7.0%,1529,81100,very expensive,83000,14000,95.2%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
